temper,aust,quench,hardness
300,1950,RT,60.5
350,1950,RT,59.5
400,1950,RT,58.5
500,1950,RT,57.5
1000,1950,RT,57
300,2000,RT,62
350,2000,RT,60.5
400,2000,RT,59.5
500,2000,RT,58.5
1000,2000,RT,58.5
300,2050,RT,62.5
350,2050,RT,61.5
400,2050,RT,60
500,2050,RT,58.5
1000,2050,RT,59.5
300,2100,RT,63
350,2100,RT,61.5
400,2100,RT,60.5
500,2100,RT,59
1000,2100,RT,60.5
300,2150,RT,63.5
350,2150,RT,62
400,2150,RT,60.5
500,2150,RT,60
1000,2150,RT,61.5
300,2200,RT,63
350,2200,RT,61.5
400,2200,RT,60.5
500,2200,RT,59.5
1000,2200,RT,62
300,1950,Freezer,61
350,1950,Freezer,59.5
400,1950,Freezer,58.5
500,1950,Freezer,58
1000,1950,Freezer,NA
300,2000,Freezer,62
350,2000,Freezer,60.5
400,2000,Freezer,59.5
500,2000,Freezer,58.5
1000,2000,Freezer,NA
300,2050,Freezer,63
350,2050,Freezer,61.5
400,2050,Freezer,60
500,2050,Freezer,59
1000,2050,Freezer,NA
300,2100,Freezer,63.5
350,2100,Freezer,62.5
400,2100,Freezer,61.5
500,2100,Freezer,60
1000,2100,Freezer,NA
300,2150,Freezer,64
350,2150,Freezer,63
400,2150,Freezer,62
500,2150,Freezer,60.5
1000,2150,Freezer,NA
300,2200,Freezer,64.5
350,2200,Freezer,63.5
400,2200,Freezer,62
500,2200,Freezer,61
1000,2200,Freezer,NA
300,1950,LN2,60.5
350,1950,LN2,59.5
400,1950,LN2,58.5
500,1950,LN2,57.5
1000,1950,LN2,56
300,2000,LN2,62
350,2000,LN2,61
400,2000,LN2,60.5
500,2000,LN2,59
1000,2000,LN2,NA
300,2050,LN2,62
350,2050,LN2,62
400,2050,LN2,61
500,2050,LN2,59
1000,2050,LN2,58
300,2100,LN2,64
350,2100,LN2,62.5
400,2100,LN2,62
500,2100,LN2,60
1000,2100,LN2,NA
300,2150,LN2,64.5
350,2150,LN2,63.5
400,2150,LN2,62.5
500,2150,LN2,60.5
1000,2150,LN2,60.5
300,2200,LN2,65
350,2200,LN2,64
400,2200,LN2,63.5
500,2200,LN2,62
1000,2200,LN2,NA
